"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 61, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
871,GARDEN SQUAER NAINAGIR,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","3,54,28,800","3,54,28,800","8,000","12,000"
872,JARGA (ROAD PAR),"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","3,00,00,000","3,00,00,000","12,000","18,000"
873,JARGA (ROAD SE ANDAR),"7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","2,20,00,000","2,20,00,000","7,000","10,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 61, Tehsil : Murar",,,,,,,,,,,,,,,,,
874,KHERIYA MODI (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","3,00,00,000","3,00,00,000","15,000","22,500"
875,KHERIYA MODI (ROAD SE ANDAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
876,KHURERI (ROAD PAR),"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","3,00,00,000","3,00,00,000","25,000","37,500"
877,"KHURERI (ROAD SE ANDAR),EMRALD GREEN KHURERI ROAD SE ANDAR, RISING CITY,SHITLA  COLONY KHURERI , SIGNATURE CITY","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,50,00,000","2,50,00,000","10,000","15,000"
878,KOTAVIRAN (ROAD PAR),"7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","3,00,00,000","2,00,00,000","7,000","10,500"
879,KOTAVIRAN (ROAD SE ANDAR),"5,000","7,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","16,000","27,600","1,80,00,000","1,50,00,000","5,000","7,500"
880,LAXMI VIHAR BADAGAUN,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","3,51,12,000","3,51,12,000","15,000","22,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 61, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
881,M/S G.L.R.REAL. STATE PVT. LTD.. DONGARPUR ROAD SE ANDAR,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","2,40,00,000","2,40,00,000","40,000","60,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 61, Tehsil : Murar",,,,,,,,,,,,,,,,,
882,MOHANPUR (ROAD PAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","4,00,00,000","4,00,00,000","10,000","15,000"
883,MOHANPUR SE BHET ROAD PAR,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","2,50,00,000","2,50,00,000","8,000","12,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 61, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
884,NAINAGIR (ROAD PAR),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","5,00,00,000","5,00,00,000","20,000","30,000"
885,"NAINAGIR (ROAD SE ANDAR), GARDEN SQUARE","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,93,80,000","1,93,80,000","10,000","15,000"
886,NIRVANA H.G. GROUP,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","18,00,00,000","18,00,00,000","40,000","60,000"
887,OM RAJ EVENU,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","4,40,00,000","4,40,00,000","25,000","37,500"
888,ORANGE WOOD SIROL ROAD SE ANDAR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,59,20,000","2,59,20,000","15,000","22,500"
889,PRAGATI ASSOCIATE DONGARPUR ROAD SE ANDAR,"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","2,40,00,000","2,40,00,000","40,000","60,000"
890,PROMOD KUMAR MALOO BY M/S SHRI GURU DEVELOPERS SIROL ROAD SE ANDAR,"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","2,59,20,000","2,59,20,000","12,000","18,000"
891,RAJASV STAF HOMES INFRASTRUCTOR PVT. LTD. GWALIOR,"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","4,00,00,000","4,00,00,000","12,000","18,000"
892,"RAJASW KARMCHARI GRAH NIRMAN SHKARI SANSTHA MARYADIT, VRANDHAVAN DHAM","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","4,00,00,000","4,00,00,000","15,000","22,500"
893,"RAMAUA ROAD SE ANDAR, R. K GARDEN CITY  ROAD, LAKSHYA HOME DEVELOPERS, RAMAUA KI ANYA COLONY, SAI BASANT KUNJ","20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","3,60,00,000","3,60,00,000","20,000","30,000"
894,RAMOUAA (ROAD PAR),"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","5,00,00,000","5,00,00,000","30,000","45,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 61, Tehsil : Murar",,,,,,,,,,,,,,,,,
895,SIGNATURE CITY BADA GAON,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","2,40,00,000","2,40,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 61, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
896,"SIROL  ROAD SE ANDAR,M/S CRIATIVE DEVELOPERS BY EAST MERIDIYAN","30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","4,01,28,000","4,01,28,000","30,000","45,000"
897,SIROL ( MAIN ROAD PAR),"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","5,00,00,000","5,00,00,000","40,000","60,000"
898,SIROL MAIN ROAD SE ANDAR,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","3,00,00,000","3,00,00,000","30,000","45,000"
899,SIROL PARISAR SIROL THANE KE SAMNE,"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","6,00,00,000","6,00,00,000","30,000","45,000"
900,"WOODS RESIDENCY GRAM SIROL ,","30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","14,52,00,000","14,52,00,000","30,000","45,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 61, Tehsil : Murar",,,,,,,,,,,,,,,,,
901,"badagaon (rod se andar) , chitransh colony badagaon","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,25,00,000","2,25,00,000","15,000","22,500"
902,ganeshpura,"4,000","6,000","4,000","17,000","11,200","9,600","8,000","30,000","28,400","26,800","13,600","24,000","1,50,00,000","1,50,00,000","4,000","6,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 61, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
903,mohanpur (rod se andar),"7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","3,00,00,000","3,00,00,000","7,000","10,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
904,"AIR PORT ROAD, AALU ANUSANDHAN SE SANICHARA PAHUCH MARG TAK (SADAK KE DONO AUR)","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,20,00,000","1,20,00,000","10,000","15,000"
905,ALENTA GRAM SETHRI,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","1,31,04,000","1,31,04,000","15,000","22,500"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
906,ARMA RESIDENCY,"5,000","7,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","14,400","25,200","1,00,00,000","1,00,00,000","5,000","7,500"
907,"B.P. CITY,BALGOPAL COLONY, BALGOPALPURAM,BALRAM NAGAR, GULABPURI,RAMGOPAL COLONY,SAI
NAGAR,SHITLAPURAM","16,000","24,000","16,000","29,000","23,200","21,600","20,000","48,000","46,400","44,800","29,960","38,400","10,56,00,000","10,56,00,000","16,000","24,000"
908,BEHATA  (ROAD PAR),"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","3,00,00,000","3,00,00,000","12,000","18,000"
909,BEHTA (ROAD SE ANDAR),"7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","1,50,00,000","1,50,00,000","7,000","10,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
910,BEJNATH DHAAM,"5,000","7,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","14,400","25,200","80,00,000","80,00,000","5,000","7,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
911,BHADROLI (ROAD PAR),"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","3,00,00,000","3,00,00,000","12,000","18,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
912,BHADROLI (ROAD SE ANDAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
913,BHATPURABRAHMAN,"5,000","75,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","14,400","25,200","80,00,000","80,00,000","5,000","75,500"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
914,BHONDERI (ROAD PAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,27,92,000","1,27,92,000","10,000","15,000"
915,CHANDUPURA,"5,000","7,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","14,400","25,200","35,00,000","35,00,000","5,000","7,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
916,DWARIKA VIKRAM PUR,"6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","29,800","16,320","28,800","96,00,000","96,00,000","6,000","9,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
917,FOUR LINE BY PASS ROAD PAR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","1,92,00,000","1,92,00,000","15,000","22,500"
918,GIRGAON (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
919,GOVIND CITY GRAM KHERIYA MIRDHA,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","80,00,000","80,00,000","8,000","12,000"
920,GREEN VELLY,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,60,00,000","1,60,00,000","8,000","12,000"
921,GURUKRIPA NAGAR FASE-2,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","91,20,000","91,20,000","10,000","15,000"
922,IDEAL CITY,"7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","4,56,00,000","4,56,00,000","7,000","10,500"
923,JAHANGIRPUR ROAD SE ANDAR,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,50,00,000","1,50,00,000","10,000","15,000"
924,JARENA (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","3,00,00,000","3,00,00,000","15,000","22,500"
925,JIRENA ROAD SE ANDAR,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
926,JOGESWARI DHAAM,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,08,80,000","1,08,80,000","8,000","12,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
927,JONAPUR (ROAD PAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","16,800","28,800","3,00,00,000","3,00,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
928,KESHAV NAGAR,"6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","29,800","15,200","26,400","1,60,00,000","1,60,00,000","6,000","9,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
929,KHERIYA MIRDHA  (ROAD PAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","4,30,00,000","4,30,00,000","10,000","15,000"
930,KHERIYA MIRDHA ROAD SE ANDAR,"7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","2,50,00,000","2,50,00,000","7,000","10,500"
931,KHERIYA PADAMPUR (ROAD PAR),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","5,00,00,000","5,00,00,000","20,000","30,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
932,LOHARPURA (ROAD PAR),"15,500","22,500","15,500","28,500","22,700","21,100","19,500","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,500","22,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
933,MAHALAXMI NAGAR,"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","1,00,00,000","1,00,00,000","12,000","18,000"
934,MAYUR VIHAR,"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","2,18,00,000","2,18,00,000","12,000","18,000"
935,METHANA ROAD SE ANDAR,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,50,00,000","1,50,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
936,PURAN PATRIWALA ROAD (SADAK KE DONO AUR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","1,08,48,000","1,08,48,000","15,000","22,500"
937,RASULLPURA (ROAD PAR),"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","2,50,00,000","2,50,00,000","12,000","18,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
938,SATYAM EROCITY,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","1,27,92,000","1,27,92,000","20,000","30,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
939,SETHARI (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,50,00,000","2,50,00,000","15,000","22,500"
940,SHANPUR (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
941,SHANTI BIHAR,"6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","29,800","15,200","26,400","1,45,92,000","1,45,92,000","6,000","9,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
942,SHANTINAGAR GRAM JAHANGEER PUR,"5,000","7,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","14,400","25,200","80,00,000","80,00,000","5,000","7,500"
943,SHEKUPURA (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,50,00,000","2,50,00,000","15,000","22,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
944,SUNDARM GREEN GRAM SETHRI,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,10,00,000","1,00,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
945,SURO,"4,000","6,000","4,000","17,000","11,200","9,600","8,000","30,000","28,400","26,800","13,600","24,000","40,00,000","40,00,000","4,000","6,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
946,VIKRAMPUR (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","3,00,00,000","3,00,00,000","15,000","22,500"
947,VRANDABAN VIHAR BHADROLI,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,15,20,000","1,15,20,000","8,000","12,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 62, Tehsil : Murar",,,,,,,,,,,,,,,,,
948,bhanderi rod se andar,"6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","39,800","15,200","26,400","1,27,92,000","1,27,92,000","6,000","9,000"
949,girgov rod se andar,"7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","1,50,00,000","1,50,00,000","7,000","10,500"
950,jonapur rod se andar,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","8,000","12,000"
951,kheriya padampur rod se andar,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,50,00,000","2,50,00,000","10,000","15,000"
952,krashnakunj gram bhadrauli,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,27,92,000","1,27,92,000","8,000","12,000"
953,loharpura rod se andar,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,50,00,000","1,50,00,000","10,000","15,000"
954,rasulpura rod se andar,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
955,sahanpur rod se andar,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
