"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
30,"D.R.P. LINE VINAY NAGAR KE SAMNAY BAHODAPUR TIRAHA TAK (MAIN
ROAD)","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","12,00,00,000","12,00,00,000","25,000","37,500"
31,"FORT VIEW COLONY,GAHOE COLONY, NEW RORT VIEW COLONY,AAUKHANA","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","12,00,00,000","12,00,00,000","25,000","37,500"
32,GHOSIPURA STATION ROAD,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","10,00,00,000","10,00,00,000","15,000","22,500"
33,KOTESWAR ROAD VINAY NAGAR KE DONO OR,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","14,40,00,000","14,40,00,000","25,000","37,500"
34,RAMDAS GHATI MANTAL HOSPITAL ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","16,00,00,000","16,00,00,000","25,000","37,500"
35,SHABD PRATAP AASHARM (MAIN ROAD PAR),"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","12,00,00,000","12,00,00,000","30,000","45,000"
36,SHABD PRATAP AASHARM (MAIN ROAD SE DOOR),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","9,00,00,000","9,00,00,000","20,000","30,000"
37,"VIVEK VIHAR COLONY,GHOSIPURA , RAMGHAD,DURG VIHAR COLONY, MANAS VIHAR COLONY,MANTAL HOSPITAL KE QUATORS, D.R.P. LINE, PANJABI BADA,RAM NAGAR,SHRI VIHAR COLONY,KHATKE SABHAB KI CHATRI,","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","9,00,00,000","9,00,00,000","15,000","22,500"
38,"vinay nagar sector 1,2,3,4, . kante sahab ka bag vinay nagar se laga kshetra aukhana keshobag kishanbag","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","16,00,00,000","16,00,00,000","25,000","37,500"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
39,BAHODAPUR SE ANAND NAGAR MEN ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","12,00,00,000","12,00,00,000","25,000","37,500"
40,BANDAGHURA,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","6,40,00,000","6,40,00,000","10,000","15,000"
41,BANDAGURA MEN ROAD,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","44,900","22,400","37,200","10,00,00,000","10,00,00,000","15,000","22,500"
42,"BARAHA BIGHA COLONY,CHOBIS BIGHA COLONY,GALAV NAGAR, GALAXY AWAS PVT. LTD","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","16,00,00,000","16,00,00,000","25,000","37,500"
43,"CHANDAN NAGAR,BULBULPURA","18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","47,800","28,400","40,800","10,00,00,000","10,00,00,000","18,000","27,000"
44,"CITY HOSPITAL BAHODAPUR ROAD,","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","16,00,00,000","16,00,00,000","25,000","37,500"
45,GHAS MANDI SE KOTESWAR MANDIR MAIN ROAD PAR,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","10,00,00,000","10,00,00,000","25,000","37,500"
46,"GURUNANAK NAGAR,BAHODAPUR, INDIRA COLONY,KAILASH NAGAR, SADA SHIV NAGAR,KALYANBAAG, MAIN ROAD SE DOOR ,KUSHWAH MOHALLA","14,000","21,000","14,000","27,000","21,200","19,600","18,000","45,000","43,400","41,800","21,600","36,000","10,00,00,000","10,00,00,000","14,000","21,000"
47,KOTESWAR ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","12,40,00,000","12,40,00,000","25,000","37,500"
48,MEWATI MOHALLA,"14,000","21,000","14,000","27,000","21,200","19,600","18,000","45,000","43,400","41,800","21,600","36,000","9,00,00,000","9,00,00,000","14,000","21,000"
49,"MIRJAPUR,NOMAHALA , GHASMANDI MAIN ROAD SE DOOR","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","8,00,00,000","8,00,00,000","10,000","15,000"
50,STOR ARIYA,"19,000","28,500","19,000","32,000","26,200","24,600","23,000","52,500","50,900","49,300","25,600","42,000","14,40,00,000","14,40,00,000","19,000","28,500"
51,TIRCHI HAT,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","8,00,00,000","8,00,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
52,ghatampur mohite gardan ke pichhe,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","8,00,00,000","8,00,00,000","15,000","22,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 05, Tehsil : Gird",,,,,,,,,,,,,,,,,
53,A. B. ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","16,00,00,000","16,00,00,000","25,000","37,500"
54,AANAND NAGAR   ROAD SE DOOR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","14,00,00,000","14,00,00,000","20,000","30,000"
55,"AANAND NAGAR (DABAL DIVIDAR A. B. ROAD SE AANAND NAGAR TAK), BAHODAPUR (TIRAHE SE AANAND NAGAR CHOREHE TAK),BAHODAPUR SE SAGAR TAL CHORAHE TAK MAIN ROAD PAR","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","16,00,00,000","16,00,00,000","25,000","37,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 05, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
